PAYS;VILLE;CODE_IATA;MONTANT;ZONE;DATE
GRECE;Athenes;ATH;173;EURO;01/01/2024
GRECE;Heraklion;HER;173;EURO;01/01/2024
GRECE;Mykonos;JMK;173;EURO;01/01/2024
GRECE;Santorin;JTR;173;EURO;01/01/2024
GUADELOUPE;Pointe-a-Pitre;PTP;173;EURO;01/01/2024
GUINEE (CONAKRY);Conakry;CKY;170;MONDE;01/01/2024
GUYANE;Cayenne;CAY;173;EURO;01/01/2024
HONG-KONG;Hong Kong;HKG;260,48;MONDE;01/01/2024
HONGRIE;Budapest;BUD;175;EUROPE;01/01/2024
INDE;Bangalore;BLR;210;MONDE;01/01/2024
INDE;Delhi;DEL;210;MONDE;01/01/2024
INDE;Mumbai;BOM;210;MONDE;01/01/2024
IRLANDE;Dublin;DUB;173;EURO;01/01/2024
ISRAEL;Tel Aviv;TLV;230;MONDE;01/01/2024
ITALIE;Bologne;BLQ;173;EURO;01/01/2024
ITALIE;Florence;FLR;173;EURO;01/01/2024
ITALIE;Milan;MXP;173;EURO;01/01/2024
ITALIE;Naples;NAP;173;EURO;01/01/2024
ITALIE;Rome;FCO;173;EURO;01/01/2024
ITALIE;Turin;TRN;173;EURO;01/01/2024
ITALIE;Venise;VCE;173;EURO;01/01/2024
JAPON;Osaka;KIX;161,16;MONDE;01/01/2024
JAPON;Tokyo;HND;189,6;MONDE;01/01/2024
KENYA;Nairobi;NBO;130,22;MONDE;01/01/2024
LA REUNION;Saint-Denis;RUN;173;EURO;01/01/2024
LIBAN;Beyrouth;BEY;154;MONDE;01/01/2024
MADAGASCAR;Antananarivo;TNR;114;MONDE;01/01/2024
MALAISIE;Kuala Lumpur;KUL;95,42;MONDE;01/01/2024
MALI;Bamako;BKO;246,36;MONDE;01/01/2024
MALTE;La Valette;MLA;173;EURO;01/01/2024
MAROC;Casablanca;CMN;175;EUROPE;01/01/2024
MAROC;Marrakech;RAK;175;EUROPE;01/01/2024
MAROC;Rabat;RBA;175;EUROPE;01/01/2024
MARTINIQUE;Fort-de-France;FDF;173;EURO;01/01/2024
MAURICE;Port Louis;MRU;141,49;MONDE;01/01/2024
